date,time,source,author,name,event,撮影ルール,type,orientation,width,height,duration_s,likes,views,post_url,media_url,best_mp4,dl_flag
2026-08-01,15:17,他人,yuan_desuyo,ゆえ,MOVE ON MUSIC! Special,対バン（静止画は全編可・動画は指定曲のみ）,photo,横,4096,2304,,10,658,https://x.com/yuan_desuyo/status/2083436953224290448,https://pbs.twimg.com/media/HOna3R0bUAAtL44.jpg,,
2026-08-01,15:21,公式,lollipop_1116,公式,MOVE ON MUSIC! Special,対バン（静止画は全編可・動画は指定曲のみ）,photo,横,2048,1536,,17,7254,https://x.com/lollipop_1116/status/2083437930006376451,https://pbs.twimg.com/media/HOna_gxbgAAncX1.jpg,,1
2026-08-01,15:21,公式,lollipop_1116,公式,MOVE ON MUSIC! Special,対バン（静止画は全編可・動画は指定曲のみ）,video,横,3840,2160,87,17,7254,https://x.com/lollipop_1116/status/2083437930006376451,https://pbs.twimg.com/amplify_video_thumb/2083437087307837440/img/IDAMzlPlvinfdwY0.jpg,https://video.twimg.com/amplify_video/2083437087307837440/vid/avc1/3840x2160/kC1cum7CRaJCxhya.mp4?tag=29,1
2026-08-01,15:23,メンバー,kurumi_lpop,やぎくるみ,MOVE ON MUSIC! Special,対バン（静止画は全編可・動画は指定曲のみ）,photo,縦,1536,2048,,36,1057,https://x.com/kurumi_lpop/status/2083438544878727395,https://pbs.twimg.com/media/HOncT9rbAAAwzTo.jpg,,1
2026-08-01,15:47,メンバー,mayu_lpop,夏川茉夢,MOVE ON MUSIC! Special,対バン（静止画は全編可・動画は指定曲のみ）,photo,縦,1536,2048,,33,950,https://x.com/mayu_lpop/status/2083444424898695287,https://pbs.twimg.com/media/HOnhqMfbsAIi4Tw.jpg,,1
2026-08-01,15:47,メンバー,mayu_lpop,夏川茉夢,MOVE ON MUSIC! Special,対バン（静止画は全編可・動画は指定曲のみ）,photo,縦,1536,2048,,33,950,https://x.com/mayu_lpop/status/2083444424898695287,https://pbs.twimg.com/media/HOnhqMcaQAApPfk.jpg,,1
2026-08-01,15:55,メンバー,mana_lpop,愛月まな,MOVE ON MUSIC! Special,対バン（静止画は全編可・動画は指定曲のみ）,photo,縦,1536,2048,,40,628,https://x.com/mana_lpop/status/2083446612660269238,https://pbs.twimg.com/media/HOnjplqbcAAd_Jm.jpg,,1
2026-08-01,16:01,メンバー,mau_lpop,まう,MOVE ON MUSIC! Special,対バン（静止画は全編可・動画は指定曲のみ）,photo,,,,,29,986,https://x.com/mau_lpop/status/2083447950173417983,,,
2026-08-01,18:17,他人,cocorollings,yan,MOVE ON MUSIC! Special,対バン（静止画は全編可・動画は指定曲のみ）,photo,縦,2718,3624,,5,278,https://x.com/cocorollings/status/2083482332959564142,https://pbs.twimg.com/media/HOoEImFaEAAXU5j.jpg,,1
2026-08-01,18:23,メンバー,ami_lpop,松川愛美,MOVE ON MUSIC! Special,対バン（静止画は全編可・動画は指定曲のみ）,photo,,,,,47,1304,https://x.com/ami_lpop/status/2083483750193889680,,,
